country_code,country,city,aqi_value,co_aqi_value,ozone_aqi_value,no2_aqi_value,pm25_aqi_value,lat,lng
MEX,Mexico,Toluca,166,4,8,19,166,19.2925,-99.6569
BRA,Brazil,Itapissuma,27,0,23,1,27,-7.7764,-34.8919
BRA,Brazil,Itarantim,23,1,7,1,23,-15.66,-40.0658
BRA,Brazil,Itumbiara,31,1,13,0,31,-18.4167,-49.2167
SLV,El Salvador,Izalco,90,2,22,9,90,13.7333,-89.6667
RUS,Russian Federation,Izberbash,51,1,38,0,51,42.5633,47.8636
IND,India,Jabalpur,170,1,38,0,170,23.1667,79.9333
BRA,Brazil,Jaguaquara,22,0,9,1,22,-13.5308,-39.9708
POL,Poland,Jarocin,47,1,27,2,47,51.9667,17.5
PHL,Philippines,Jasaan,59,1,32,0,59,8.65,124.75
NGA,Nigeria,Ilobu,133,4,23,3,133,7.84,4.486
FIN,Finland,Imatra,29,1,29,1,7,61.1833,28.7667
BRA,Brazil,Indaial,73,2,2,8,73,-26.8978,-49.2319
PHL,Philippines,Indang,50,0,24,0,50,14.2,120.8833
BRA,Brazil,Itagi,25,0,9,1,25,-14.1628,-40.0058
NGA,Nigeria,Iseyin,90,3,18,2,90,7.9667,3.6
MEX,Mexico,Isla,81,2,26,3,81,18.0292,-95.5264
BRA,Brazil,Itaitinga,29,0,20,1,29,-3.9689,-38.5278
BRA,Brazil,Itapemirim,44,1,16,1,44,-21.0108,-40.8339
SSD,South Sudan,Torit,65,1,12,0,65,4.4081,32.575
USA,United States of America,Trenton,53,1,28,10,53,40.2237,-74.7641
USA,United States of America,Trenton,53,1,28,10,53,42.1394,-83.1929
USA,United States of America,Trenton,53,1,28,10,53,39.4792,-84.462
USA,United States of America,Trujillo Alto,56,0,23,0,56,18.3599,-66.0096
IRL,Ireland,Tullamore,57,1,26,3,57,53.2667,-7.5
TUR,Turkey,Tunceli,62,0,35,0,62,39.1064,39.5472
USA,United States of America,Two Rivers,49,1,27,4,49,44.1565,-87.5824
RUS,Russian Federation,Tyukalinsk,34,1,34,0,32,55.8667,72.2
IND,India,Umaria,163,2,92,0,163,23.5247,80.8372
USA,United States of America,Willowbrook,126,4,3,36,126,33.9209,-118.2356
USA,United States of America,Willowbrook,126,4,3,36,126,41.7641,-87.9454
USA,United States of America,Wilmette,63,2,9,22,63,42.0771,-87.7282
USA,United States of America,Wolf Trap,53,2,27,10,53,38.9395,-77.2842
USA,United States of America,Woodhaven,86,2,38,10,86,42.132,-83.2374
CHN,China,Xushan,112,2,44,4,112,30.1697,121.2665
CHN,China,Yancheng,155,3,155,2,151,33.3936,120.1339
COD,Democratic Republic of the Congo,Yangambi,121,4,24,0,121,0.7675,24.4414
CHN,China,Yanji,69,2,48,0,69,42.9044,129.5067
USA,United States of America,Yankton,47,1,34,3,47,42.8901,-97.3927
DEU,Germany,Wenden,69,1,34,4,69,50.9667,7.8667
BEL,Belgium,Wetteren,64,1,32,6,64,51.0,3.8833
CAN,Canada,Whitehorse,20,1,20,1,10,60.7029,-135.0691
IRL,Ireland,Wicklow,38,1,30,3,38,52.9779,-6.033
CHE,Switzerland,Wil,59,1,27,3,59,47.4667,9.05
DEU,Germany,Wildeshausen,67,1,30,5,67,52.9,8.4333
USA,United States of America,Williamsport,75,2,13,16,75,41.2399,-77.037
USA,United States of America,Fox Lake,60,2,18,21,60,42.4239,-88.1844
DNK,Denmark,Frederikssund,36,1,36,0,25,55.8333,12.0666
USA,United States of America,Friendly,41,1,30,8,41,38.7601,-76.9642
DEU,Germany,Fuldatal,44,1,28,2,44,51.3484,9.5256
JPN,Japan,Furano,29,1,26,1,29,43.342,142.3832
CHN,China,Fuzhou,168,3,168,5,99,27.9814,116.3577
CHN,China,Fuzhou,168,3,168,5,99,26.0769,119.2917
GBR,United Kingdom of Great Britain and Northern Ireland,Galashiels,25,1,25,3,23,55.6194,-2.8033
DEU,Germany,Gangelt,41,1,26,4,41,50.9831,6.0
DEU,Germany,Garbsen,36,0,33,1,36,52.4183,9.5981
CMR,Cameroon,Garoua,59,2,12,0,59,9.3,13.4
NLD,Netherlands,Geertruidenberg,35,0,33,2,35,51.7,4.8586
AUS,Australia,Geraldton,29,0,29,0,13,-28.7744,114.6089
DEU,Germany,Germersheim,51,1,29,3,51,49.2167,8.3667
COL,Colombia,Girardot,103,4,9,6,103,4.305,-74.8017
GBR,United Kingdom of Great Britain and Northern Ireland,Golborne,35,1,30,4,35,53.4758,-2.5943
PRT,Portugal,Gondomar,27,0,27,2,21,41.15,-8.5333
PRT,Portugal,Gondomar,27,0,27,2,21,42.1111,-8.7611
IND,India,Govindgarh,307,1,45,0,307,24.3785,81.2964
USA,United States of America,Hoffman Estates,61,2,26,16,61,42.064,-88.1468
USA,United States of America,Holly Springs,42,1,42,2,37,35.6526,-78.8399
USA,United States of America,Holly Springs,42,1,42,2,37,34.1681,-84.4847
DEU,Germany,Holzminden,42,0,32,1,42,51.8297,9.4483
ETH,Ethiopia,Huruta,102,1,23,0,102,8.15,39.35
ITA,Italy,Iglesias,64,1,53,1,64,39.3167,8.5333
JPN,Japan,Iizuka,45,1,45,0,38,33.65,130.6833
JPN,Japan,Suzu,69,1,69,1,60,37.4363,137.2605
HUN,Hungary,Szeged,50,1,41,1,50,46.255,20.145
IRN,Iran (Islamic Republic of),Tafresh,125,2,125,1,82,34.6919,50.0131
PHL,Philippines,Tagaytay,41,1,25,1,41,14.1,120.9333
JPN,Japan,Tajimi,52,1,34,3,52,35.3328,137.1316
JPN,Japan,Takahagi,47,1,47,1,44,36.7192,140.7167
JPN,Japan,Takahashi,36,1,36,3,34,34.7914,133.6164
